,Expense_id,ExpenseName
0,REGULAR WAGES - FULL-TIME,REGULAR WAGES - FULL-TIME
1,TEMPORARY EMPLOYEES,TEMPORARY EMPLOYEES
2,VACATION PAY,VACATION PAY
3,HOLIDAY PAY,HOLIDAY PAY
4,ACCIDENT PAY,ACCIDENT PAY
5,SICK PAY,SICK PAY
6,STABILITY PAY,STABILITY PAY
7,PERSONAL HOLIDAY PAY,PERSONAL HOLIDAY PAY
8,JURY LEAVE,JURY LEAVE
9,BAD WEATHER PAY,BAD WEATHER PAY
10,ADMINISTRATIVE LEAVE,ADMINISTRATIVE LEAVE
11,EMERGENCY LEAVE,EMERGENCY LEAVE
12,PHONE ALLOWANCE,PHONE ALLOWANCE
13,INSURANCE-HEALTH/LIFE/DENTAL,INSURANCE-HEALTH/LIFE/DENTAL
14,FICA TAX,FICA TAX
15,MEDICARE TAX,MEDICARE TAX
16,CONTRIBUTION TO EMPLOYEES RET,CONTRIBUTION TO EMPLOYEES RET
17,AWARDS AND RECOGNITION,AWARDS AND RECOGNITION
18,PRINTING/BINDING/PHOTO/REPR,PRINTING/BINDING/PHOTO/REPR
19,MEMBERSHIPS,MEMBERSHIPS
20,SUBSCRIPTIONS,SUBSCRIPTIONS
21,CLOTHING/CLOTHING MATERIAL,CLOTHING/CLOTHING MATERIAL
22,FOOD/ICE,FOOD/ICE
23,BOOKS-LIBRARY,BOOKS-LIBRARY
24,OFFICE SUPPLIES,OFFICE SUPPLIES
25,MINOR COMPUTER HARDWARE,MINOR COMPUTER HARDWARE
26,SERVICES-ENVIRONMNT ASSESSMENT,SERVICES-ENVIRONMNT ASSESSMENT
27,SERVICES-ENGINEERING,SERVICES-ENGINEERING
28,SERVICES-TESTING,SERVICES-TESTING
29,SERVICES-OTHER,SERVICES-OTHER
30,MAINTENANCE-GROUNDS,MAINTENANCE-GROUNDS
31,MAINTENANCE-COMPUTER SOFTWARE,MAINTENANCE-COMPUTER SOFTWARE
32,PROFESSIONAL REGISTRATION,PROFESSIONAL REGISTRATION
33,GOVERNMENT PERMITS AND FEES,GOVERNMENT PERMITS AND FEES
34,TERMINAL PAY,TERMINAL PAY
35,MILITARY LEAVE,MILITARY LEAVE
36,SERVICES-PLATFORM AS A SERVICE,SERVICES-PLATFORM AS A SERVICE
37,SERVICES-PREPARED FOOD AND CATERING,SERVICES-PREPARED FOOD AND CATERING
38,MAINTENANCE-COMPUTER HARDWARE,MAINTENANCE-COMPUTER HARDWARE
39,SEMINAR/TRAINING FEES,SEMINAR/TRAINING FEES
40,TRAINING-BASICS,TRAINING-BASICS
41,MILEAGE REIMBURSEMENTS,MILEAGE REIMBURSEMENTS
42,PARKING COSTS,PARKING COSTS
43,SOFTWARE,SOFTWARE
44,HOLIDAYS WORKED,HOLIDAYS WORKED
45,CONSULTANT-OTHERS,CONSULTANT-OTHERS
46,REIMBURSABLE BUSINESS EXPEN,REIMBURSABLE BUSINESS EXPEN
47,OVERTIME,OVERTIME
48,OTHER PAID LEAVE,OTHER PAID LEAVE
49,COMP TIME USED,COMP TIME USED
50,SERVICES-INVESTIGATIONS,SERVICES-INVESTIGATIONS
51,SERVICES-IT STAFFING,SERVICES-IT STAFFING
52,INTERDEPTL-RECORDS RETENTION,INTERDEPTL-RECORDS RETENTION
53,TELEPHONE-CELLULAR PHONES,TELEPHONE-CELLULAR PHONES
54,TRAVEL CITY BUSINESS,TRAVEL CITY BUSINESS
55,STAFF DEV-SEMINARS,STAFF DEV-SEMINARS
56,EMPLOYEE RECRUITING,EMPLOYEE RECRUITING
57,EDUCATIONAL/PROMOTIONAL,EDUCATIONAL/PROMOTIONAL
58,SAFETY EQUIPMENT,SAFETY EQUIPMENT
59,EXCEPTION VACATION,EXCEPTION VACATION
60,TRANSPORTATION-CITY VEH FUEL,TRANSPORTATION-CITY VEH FUEL
61,POSTAGE,POSTAGE
62,SMALL TOOLS/MINOR EQUIPMENT,SMALL TOOLS/MINOR EQUIPMENT
63,SHIFT DIFFERENTIAL,SHIFT DIFFERENTIAL
64,ON CALL HOURS,ON CALL HOURS
65,CALL BACK TIME,CALL BACK TIME
66,SERVICES-HAZARDOUS MAT DISP,SERVICES-HAZARDOUS MAT DISP
67,SERVICES-INSPECTION,SERVICES-INSPECTION
68,SERVICES-JANITORIAL,SERVICES-JANITORIAL
69,MAINTENANCE-BUILDINGS,MAINTENANCE-BUILDINGS
70,MAINTENANCE-OTHER EQUIPMENT,MAINTENANCE-OTHER EQUIPMENT
71,PRIORITY MAIL/PARCEL SERVICES,PRIORITY MAIL/PARCEL SERVICES
72,ELECTRICAL/LIGHTING,ELECTRICAL/LIGHTING
73,REFRIGERANT COMPONENTS-HVAC,REFRIGERANT COMPONENTS-HVAC
74,PIPES AND FITTINGS,PIPES AND FITTINGS
75,RENTAL-HEAVY EQUIPMENT,RENTAL-HEAVY EQUIPMENT
76,CONST/REPAIR MATERIAL-OTHER,CONST/REPAIR MATERIAL-OTHER
77,SAND/GRAVEL/STONE,SAND/GRAVEL/STONE
78,STREET/TRAFF SIGNS/MRKR/POS,STREET/TRAFF SIGNS/MRKR/POS
79,HARDWARE/WIRE/STEEL,HARDWARE/WIRE/STEEL
80,BUILDING MATERIAL,BUILDING MATERIAL
81,PAINT/PAINTING SUPPLIES,PAINT/PAINTING SUPPLIES
82,HOUSEHOLD/CLEANING SUPPLIES,HOUSEHOLD/CLEANING SUPPLIES
83,ELECTRICAL TRANSFORMERS,ELECTRICAL TRANSFORMERS
84,ELCTRCAL CONDUCTORS-HARDWARE,ELCTRCAL CONDUCTORS-HARDWARE
85,PACKING SUPPLIES,PACKING SUPPLIES
86,DECOMMISSIONING EXP-NONNUCLEAR,DECOMMISSIONING EXP-NONNUCLEAR
87,ELCTRCAL CONDUCTORS-WIRE&CABLE,ELCTRCAL CONDUCTORS-WIRE&CABLE
88,CONSULTING-INFORMATION TECHNOLOGY,CONSULTING-INFORMATION TECHNOLOGY
89,RENTAL-OTHER EQUIPMENT,RENTAL-OTHER EQUIPMENT
90,VALVES,VALVES
91,DIETARY HARDWARE,DIETARY HARDWARE
92,OFFICE FURNISHINGS,OFFICE FURNISHINGS
93,CONSULTANT-ENGINEERING,CONSULTANT-ENGINEERING
94,MAINTENANCE-TURBINE/GENERATOR,MAINTENANCE-TURBINE/GENERATOR
95,MAINTENANCE-AUX GEN EQUIPMENT,MAINTENANCE-AUX GEN EQUIPMENT
96,GASOLINE/OIL/GREASE,GASOLINE/OIL/GREASE
97,INTRADEPTL CHARGES,INTRADEPTL CHARGES
98,MAINTENANCE-BOILERS,MAINTENANCE-BOILERS
99,MAINTENANCE-GAS TURBINES,MAINTENANCE-GAS TURBINES
100,FUSES AND FUSING APPARATUS,FUSES AND FUSING APPARATUS
101,ELECTRICAL SWITCHGEAR,ELECTRICAL SWITCHGEAR
102,PARTS FOR EQUIPMENT,PARTS FOR EQUIPMENT
103,UNINVENTORIED FREIGHT,UNINVENTORIED FREIGHT
104,INDIRECT COSTS-FMC 74-4,INDIRECT COSTS-FMC 74-4
105,INTERDEPARTMENTAL REIMBURSEMENTS,INTERDEPARTMENTAL REIMBURSEMENTS
106,INVENTORY PURCHASES,INVENTORY PURCHASES
107,TELEPHONE-BASE COST,TELEPHONE-BASE COST
108,WATER SERVICE,WATER SERVICE
109,FLEET-EQUIP.PREVENTATIVE MAINT,FLEET-EQUIP.PREVENTATIVE MAINT
110,FREIGHT,FREIGHT
111,SERVICES - CONTRACTUAL GENERAL TRADES,SERVICES - CONTRACTUAL GENERAL TRADES
112,SERVICES - FIRE ALARMS,SERVICES - FIRE ALARMS
113,WELDING SUPPLIES,WELDING SUPPLIES
114,PARTS FOR VEHICLES,PARTS FOR VEHICLES
115,IDENTIFICATION,IDENTIFICATION
116,REIMBURSEMENT OF CIP CHARGE,REIMBURSEMENT OF CIP CHARGE
117,PARENTAL LEAVE,PARENTAL LEAVE
118,ALLOWANCES/OTHER PAY,ALLOWANCES/OTHER PAY
119,INTRADEPARTMENTAL REIMBURSEMNT,INTRADEPARTMENTAL REIMBURSEMNT
120,SERVICES-CONSTRUCTION CONTR,SERVICES-CONSTRUCTION CONTR
121,RENTAL-VEHICLES/BUSES,RENTAL-VEHICLES/BUSES
122,TOLL ROAD - TX TAG,TOLL ROAD - TX TAG
123,FLEET-EQUIP.UNSCHED. REPAIRS,FLEET-EQUIP.UNSCHED. REPAIRS
124,FLEET-EQUIP. VEHICLE/EQUIPMENT MODIFICATION,FLEET-EQUIP. VEHICLE/EQUIPMENT MODIFICATION
125,MAINTENANCE-HYDRAULIC EQUIPMNT,MAINTENANCE-HYDRAULIC EQUIPMNT
126,MISCELLANEOUS EXPENSE,MISCELLANEOUS EXPENSE
127,CEMENT/CONCRETE,CEMENT/CONCRETE
128,"POLES, WOOD","POLES, WOOD"
129,"POLES, STREETLIGHT","POLES, STREETLIGHT"
130,"PULL BOXES,SVC BOXES,MANHOLES","PULL BOXES,SVC BOXES,MANHOLES"
131,TIRES/TUBES,TIRES/TUBES
132,COMPUTER SUPPLIES,COMPUTER SUPPLIES
133,BILINGUAL PAY,BILINGUAL PAY
134,LUMINAIRES & STREETLIGHT EQUIP,LUMINAIRES & STREETLIGHT EQUIP
135,RELAYS AND RELAYING EQUIPMENT,RELAYS AND RELAYING EQUIPMENT
136,CAPACITORS,CAPACITORS
137,PHOTOGRAPHIC,PHOTOGRAPHIC
138,ASPHALT,ASPHALT
139,MEDICAL/DENTAL SUPPLIES,MEDICAL/DENTAL SUPPLIES
140,ELECTRIC SERVICES,ELECTRIC SERVICES
141,INSURANCE-TEMPORARY EMPLOYEES,INSURANCE-TEMPORARY EMPLOYEES
142,SERVICES-PEST CONTROL,SERVICES-PEST CONTROL
143,AGRICULTURAL/HORTICULTURAL,AGRICULTURAL/HORTICULTURAL
144,RADIO EQUIPMENT,RADIO EQUIPMENT
145,MAINTENANCE-VEHICLES,MAINTENANCE-VEHICLES
146,SERVICES-APPRAISAL,SERVICES-APPRAISAL
147,SERVICES-COURT COSTS,SERVICES-COURT COSTS
148,SERVICES-LAND PLANNER,SERVICES-LAND PLANNER
149,SERVICES-VACANT LOT CLEARING,SERVICES-VACANT LOT CLEARING
150,INTERDEPTL-PW CPM CHARGES,INTERDEPTL-PW CPM CHARGES
151,TAXES-CITY OWNED PROPERTY,TAXES-CITY OWNED PROPERTY
152,SERVICES-SOFTWARE AS A SERVICE,SERVICES-SOFTWARE AS A SERVICE
153,TELEPHONE EQUIPMENT,TELEPHONE EQUIPMENT
154,SERVICES-AUDITING,SERVICES-AUDITING
155,SERVICES-INFRASTRUCTURE AS A SERVICE,SERVICES-INFRASTRUCTURE AS A SERVICE
156,FIBRE-OPTIC,FIBRE-OPTIC
157,SERVICES - CONTRACTUAL ELECTRICAL,SERVICES - CONTRACTUAL ELECTRICAL
158,METER PARTS,METER PARTS
159,MAINTENANCE-ELECTRIC MOTORS,MAINTENANCE-ELECTRIC MOTORS
160,STP-OPERATING EXPENSE,STP-OPERATING EXPENSE
161,SECURITY EQUIPMENT,SECURITY EQUIPMENT
162,RENTAL-COMPUTER HARDWARE,RENTAL-COMPUTER HARDWARE
163,ADVERTISING/PUBLICATION,ADVERTISING/PUBLICATION
164,MINOR COMMUNICATIONS EQUIPMENT,MINOR COMMUNICATIONS EQUIPMENT
165,GARBAGE/REFUSE COLLECTION,GARBAGE/REFUSE COLLECTION
166,SERVICES-DUMPSTER COLLECTION,SERVICES-DUMPSTER COLLECTION
167,RENTAL-REAL ESTATE-OTHER,RENTAL-REAL ESTATE-OTHER
168,METERS,METERS
169,METER CARD-SEAL-GRAPH-TAPE,METER CARD-SEAL-GRAPH-TAPE
170,SERVICES-CREDIT CARD FEES,SERVICES-CREDIT CARD FEES
171,"POLES, TOWERS, STEEL","POLES, TOWERS, STEEL"
172,GRANTS TO SUBRECIPIENTS,GRANTS TO SUBRECIPIENTS
173,SEVERANCE PAY,SEVERANCE PAY
174,RENTAL-REAL ESTATE-WAREHOUSE,RENTAL-REAL ESTATE-WAREHOUSE
175,SERVICES-TRANSLATORS,SERVICES-TRANSLATORS
176,ENERGY EFFICIENCY REBATES-AE,ENERGY EFFICIENCY REBATES-AE
177,INTERDEPARTMENTAL CHARGES,INTERDEPARTMENTAL CHARGES
178,SERVICES-TEMPORARY EMPLOYME,SERVICES-TEMPORARY EMPLOYME
179,SERVICES-LEGAL FEES,SERVICES-LEGAL FEES
180,SERVICES-SECURITY,SERVICES-SECURITY
181,SERVICES-ARMORED COURIER,SERVICES-ARMORED COURIER
182,SERVICES-COLLECTION COSTS,SERVICES-COLLECTION COSTS
183,RENTAL-SAFE DEPOSIT/POSTAL,RENTAL-SAFE DEPOSIT/POSTAL
184,MAINTENANCE-OFFICE EQUIPMEN,MAINTENANCE-OFFICE EQUIPMEN
185,CONCESSION OPERATIONS,CONCESSION OPERATIONS
186,SERVICES-INTERPRETATION,SERVICES-INTERPRETATION
187,POWER PLANT FUEL-BIOMASS,POWER PLANT FUEL-BIOMASS
188,INTERPEPTL-PW CSD CHARGES,INTERPEPTL-PW CSD CHARGES
189,MAINTENANCE-CHILLERS,MAINTENANCE-CHILLERS
190,SERVICES-SURVEY,SERVICES-SURVEY
191,REGULAR WAGES - PART-TIME,REGULAR WAGES - PART-TIME
192,CLOTHING ALLOWANCES,CLOTHING ALLOWANCES
193,REGULAR WAGES - CIVIL SERVICES,REGULAR WAGES - CIVIL SERVICES
194,COMPUTER HARDWARE,COMPUTER HARDWARE
195,RENTAL-COPY MACHINES,RENTAL-COPY MACHINES
196,BOND/THEFT/PROF LIAB INSURANCE,BOND/THEFT/PROF LIAB INSURANCE
197,FIRE/EXTEND COVERAGE INSURANCE,FIRE/EXTEND COVERAGE INSURANCE
198,LEGAL CLAIMS/DAMAGES,LEGAL CLAIMS/DAMAGES
199,TRAINING-CITY WIDE,TRAINING-CITY WIDE
200,FEDERAL UNEMPLOYMENT TAX CO,FEDERAL UNEMPLOYMENT TAX CO
201,INVN ADJ-PURCHASE PRICE,INVN ADJ-PURCHASE PRICE
202,INVN ADJ-PHYSICAL INVENTORY,INVN ADJ-PHYSICAL INVENTORY
203,SERVICES-MEDICAL/SURGICAL,SERVICES-MEDICAL/SURGICAL
204,INTERDEPTL-COUNCIL PRIORITIES,INTERDEPTL-COUNCIL PRIORITIES
205,CLAIMS-AUTO LIABILITY,CLAIMS-AUTO LIABILITY
206,CLAIMS-GENERAL LIABILITY,CLAIMS-GENERAL LIABILITY
207,CLAIMS ACCRUAL - FSD ONLY,CLAIMS ACCRUAL - FSD ONLY
208,ASSIGNMENT PAY,ASSIGNMENT PAY
209,RADIO COMMUNICATION EQUIPMENT,RADIO COMMUNICATION EQUIPMENT
210,EXPENSE REFUNDS,EXPENSE REFUNDS
211,EDUCATIONAL INCENTIVE PAY,EDUCATIONAL INCENTIVE PAY
212,WASTEWATER SERVICE,WASTEWATER SERVICE
213,VENDOR RESTOCK COST,VENDOR RESTOCK COST
214,SERVICES-INTERNET/CABLE,SERVICES-INTERNET/CABLE
215,TELEPHONE-LONG DISTANCE,TELEPHONE-LONG DISTANCE
216,RENTAL-REAL ESTATE-OFFICE,RENTAL-REAL ESTATE-OFFICE
217,WIRELESS COMMUNICATIONS-MAINT,WIRELESS COMMUNICATIONS-MAINT
218,WIRELESS COMMUNICATION-INSTAL,WIRELESS COMMUNICATION-INSTAL
219,MICROWAVE & MICROWAVE EQUIPMNT,MICROWAVE & MICROWAVE EQUIPMNT
220,PERSONNEL SAVINGS,PERSONNEL SAVINGS
221,CONTRIBUTION TO FIREFIGHTER RT,CONTRIBUTION TO FIREFIGHTER RT
222,EDUCATIONAL TRAVEL,EDUCATIONAL TRAVEL
223,UTIL REV BND COMMISSION EXP,UTIL REV BND COMMISSION EXP
224,COMMERCIAL PAPER ADMIN EXP,COMMERCIAL PAPER ADMIN EXP
225,STP FAS 148,STP FAS 148
226,COMPENSATION ADJUSTMENT,COMPENSATION ADJUSTMENT
227,ACCRUED PAYROLL,ACCRUED PAYROLL
228,CAPITAL LEASE PRINCIPAL,CAPITAL LEASE PRINCIPAL
229,CTM SUPPORT,CTM SUPPORT
230,ADMINISTRATIVE SUPPORT,ADMINISTRATIVE SUPPORT
231,WORKERS' COMPENSATION,WORKERS' COMPENSATION
232,REGIONAL RADIO SYSTEM,REGIONAL RADIO SYSTEM
233,TRF TO GENERAL FUND,TRF TO GENERAL FUND
234,TRF TO CIP MGM - CPM,TRF TO CIP MGM - CPM
235,TRF TO ECONOMIC DEVELOPMENT,TRF TO ECONOMIC DEVELOPMENT
236,TRF TO BUILDING SVCS CIP FUND,TRF TO BUILDING SVCS CIP FUND
237,SERVICES-VETERINARY,SERVICES-VETERINARY
238,BACKCHARGED SALARY & FRINGES,BACKCHARGED SALARY & FRINGES
239,INTERPEPTL-PW PMD CHARGES,INTERPEPTL-PW PMD CHARGES
240,SERVICES-LANDFILL SERVICES,SERVICES-LANDFILL SERVICES
241,SERVICES-COMPOST PROCESSING,SERVICES-COMPOST PROCESSING
242,SERVICES-WASTE COLLECTION ASST,SERVICES-WASTE COLLECTION ASST
243,CHEMICALS,CHEMICALS
244,SERVICES-RECYCLING PROCESSING,SERVICES-RECYCLING PROCESSING
245,TRASH CARTS,TRASH CARTS
246,INTERDEPT-SERVICES ELECTRICAL,INTERDEPT-SERVICES ELECTRICAL
247,COMMERCIAL RECYCLING REBATE,COMMERCIAL RECYCLING REBATE
248,HOME COMPOSTING REBATE,HOME COMPOSTING REBATE
249,ZERO WASTE EVENT REBATE,ZERO WASTE EVENT REBATE
250,RECYCLING CARTS,RECYCLING CARTS
251,ORGANICS CARTS,ORGANICS CARTS
252,SERVICES-TOWING,SERVICES-TOWING
253,SERVICES-IT INSTALLATIONS,SERVICES-IT INSTALLATIONS
254,GAS/HEATING FUELS,GAS/HEATING FUELS
255,INTERDEPT-SERVICES HVAC,INTERDEPT-SERVICES HVAC
256,INTERDEPT-SERVICES CARPENTRY,INTERDEPT-SERVICES CARPENTRY
257,INTERDEPT-SERVICES PLUMBING,INTERDEPT-SERVICES PLUMBING
258,OTHER EQUIPMENT,OTHER EQUIPMENT
259,MARKET STUDY ADJUSTMENT,MARKET STUDY ADJUSTMENT
260,LIABILITY RESERVE,LIABILITY RESERVE
261,TRF TO GO DEBT SERVICE,TRF TO GO DEBT SERVICE
262,TRF TO RESOURCE RECOVERY CIP,TRF TO RESOURCE RECOVERY CIP
263,WIRELESS COMMUNICATION-TOWERS,WIRELESS COMMUNICATION-TOWERS
264,VEHICLE/MOTORED EQUIPMENT,VEHICLE/MOTORED EQUIPMENT
